Date,open,high,low,close,volume,openinterest,daily_return
2010-01-04,528.1831954176708,533.67919921875,524.0982559705085,533.67919921875,85197600000,0.0,0.0
2010-01-05,536.0171780783421,544.3160842807526,535.1891795379148,541.1481323242188,96524600000,0.0,0.013995173723095222
2010-01-06,540.1611607378218,546.2611042439364,537.6481734654312,545.4711303710938,96672000000,0.0,0.007988566879659764
2010-01-07,543.8670966542812,549.72607421875,540.1931050038322,549.72607421875,98892600000,0.0,0.007800493208066861
2010-01-08,552.3320689963595,557.1130492948042,545.7520870855896,547.97607421875,99940500000,0.0,-0.0031834036660659537
2010-01-11,550.8670644379044,553.471054490613,537.5741664077267,539.2081298828125,90211400000,0.0,-0.016000597012265527
2010-01-12,541.2031012603269,542.5331112420993,534.7791243619961,536.7611083984375,65435600000,0.0,-0.004538176167534491
2010-01-13,534.7941886768092,547.1281082820334,533.4492250365641,546.2691040039062,79747300000,0.0,0.017713644779216997
2010-01-14,552.2810407877872,552.6540246314308,544.6001126576402,547.403076171875,79399600000,0.0,0.0020758489902819033
2010-01-15,547.7901200409276,547.7901200409276,536.1971640421111,540.0541381835938,88128200000,0.0,-0.013425094428906381
